"","latitude","longitude","Postal address","Postcode","Industry/Sectors","Premises Name"
"Brevan Howard","51.51","-0.15","53 Davies St, London","W1K 5JH","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Brevan Howard"
"Blue Bay asset management","51.51","-0.15","77 Grosvenor St, London","W1K 3JR","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Blue Bay asset management"
"Cevian Capital","51.51","-0.14","70 Jermyn St, London","SW1Y 6NY","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Cevian Capital"
"CQS Investment Management","51.50","-0.15","5th Flr, 33 Grosvenor Place, London.","SW1X 7HY","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","CQS Investment Management"
"COMAC Capital","51.51","-0.13","5 Stratton Street, London","W1J 8L","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","COMAC Capital"
"Ecofin","51.51","-0.12","Burdett Hse, 15 Buckingham St, London","WC2N 6DU","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Ecofin"
"Elliott Associates","51.51","-0.14","4th Floor, Cleveland House, 33 King St, London","SW1Y 6RJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Elliott Associates"
"Horseman Capital","51.50","-0.15","9 Chester Close, Chester Street, London.","SW1X 7BE","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Horseman Capital"
"Investcorp","51.51","-0.15","48 Grosvenor St, London","W1K 3HW","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks, Hedge Funds","Investcorp"
"Lansdowne Partners","51.51","-0.15","15 Davies St, London","W1K 3AG","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Lansdowne Partners"
"Man Group","51.51","-0.15","1 Curzon St, London","W1J 5HB","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Man Group"
"Millenium Global","51.51","-0.14","Cassini Hse, 57-59 St James’s St, London","SW1A 1LD","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Millenium Global"
"Och-Ziff Management","51.51","-0.14","40 Argyll St, London","W1F 7EB","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Och-Ziff Management"
"Odey Asset Management","51.51","-0.15","12 Upper Grosvenor St, London","W1K 2ND","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Odey Asset Management"
"Paulson Europe","51.51","-0.15","70 Jermyn St, London","W1K 3JR","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Paulson Europe"
"Spinnaker","51.51","-0.15","6 Grosvenor St, London","W1K 4DJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Hedge Funds","Spinnaker"
"Altima Partners","51.51","-0.14","23 Savile Row, London","W1S 2ET","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Private Equity Firms","Altima Partners"
"Blackstone","51.51","-0.15","40 Berkeley Square, London","W1J 5AL","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Private Equity Firms","Blackstone"
"Bridgepoint Ventures UK","51.51","-0.14","17 Savile Row, London","W1S 3PN","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Private Equity Firms","Bridgepoint Ventures UK"
"Carlyle Group","51.51","-0.14","Lansdowne Hse, 57 Berkeley Square, London","W1J 6ER","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Private Equity Firms","Carlyle Group"
"Emergent Asset Management","51.50","-0.15","Level 7, 7 Old Park Lane, London","W1K 1QR","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Private Equity Firms","Emergent Asset Management"
"Hermitage Capital","51.51","-0.14","2–3 Golden Square, London","W1F 9HR","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Private Equity Firms","Hermitage Capital"
"Lion Capital","51.50","-0.15","21 Grosvenor Plc, London.","SW1X 7HF","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Private Equity Firms","Lion Capital"
"General Dynamics UK Ltd","51.50","-0.14","11-12 Buckingham Gate, London","SW1E 6LB","Arms","General Dynamics UK Ltd"
"EFG Eurobank Ergasias","51.51","-0.15","25 Berkeley Square","W1J 6HN","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks","EFG Eurobank Ergasias"
"EFG Private Bank","51.51","-0.15","Leconfield House, Curzon Street, London,","W1J 5JB","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks","EFG Private Bank"
"Israel Discount Bank","51.51","-0.14","65 Curzon St, London","W1J 8PE","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks","Israel Discount Bank"
"Island Gas (IGas) Ltd","51.51","-0.15","7 Down Street, London","W1J 7AJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Island Gas (IGas) Ltd"
"Fairfax Shelfco 320 Ltd","51.52","-0.11","Fairfax House, 15 Fulwood Place, London","WC1V 6AY","Companies","Fairfax Shelfco 320 Ltd"
"Clean Coal Ltd","51.51","-0.14","Third Floor, 15 Poland Street, London","W1F 8QE","Companies","Clean Coal Ltd"
"Cluff Natural Resources","51.50","-0.13","Third Floor, 5-8 The Sanctuary, London","SW1P 3JS","Companies","Cluff Natural Resources"
"Riverside Energy Ltd","51.52","-0.12","Lacon House, 84 Theobalds Road, London","WC1X 8RW","Companies","Riverside Energy Ltd"
"Babcock International Group","51.52","-0.15","33 Wigmore Street, London","W1U 1QX","Arms","Babcock International Group"
"BAE Systems head office","51.51","-0.13","Stirling Square, 6 Carlton Gardens, London","SW1Y 5AD","Arms","BAE Systems head office"
"Finmeccanica UK Ltd","51.50","-0.13","8-10 Great George St, London","SW1P 3AE","Arms","Finmeccanica UK Ltd"
"Duke of Westminster","51.51","-0.15","70 Grosvenor Street, London","W1K 3JP","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Duke of Westminster"
"Land Securities","51.52","-0.12","5 Strand, London","WC2N 5AF","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Land Securities"
"Carlyle Group","51.51","-0.14","Lansdowne House, 57 Berkeley Square, London","W1J 6ER","Financial Institutions","Carlyle Group"
"25 North Row","51.51","-0.15","25 North Row, London","W1K 6DJ","Foreign governments","25 North Row"
"Coutts & Co","51.51","-0.13","440 Strand, London, Added to map.","WC2R 0QS","Financial Institutions, Banks","Coutts & Co"
"Israel Discount Bank","51.51","-0.14","Nightingale House, 65 Curzon Street, London","W1J 8PE","Financial Institutions","Israel Discount Bank"
"One Hyde Park","51.50","-0.16","One Hyde Park, 100 Knightsbridge,, London","SW1X 7LJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","One Hyde Park"
"US Embassy","51.51","-0.15","24 Grosvenor Square, , London","W1A 2LQ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Foreign governments","US Embassy"
"Astrazeneca Insurance, Investment and Finance","51.51","-0.15","15 Stanhope Gate, London","W1K 1LN","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Astrazeneca Insurance, Investment and Finance"
"Qatari Diar","51.51","-0.15","77 Grosvenor Street, London","W1K 3JR","Foreign governments","Qatari Diar"
"Sotheby's","51.51","-0.14","34-35 New Bond Street,, London","W1A 2AA","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies, The rich, Israeli apartheid, militarism and occupation","Sotheby's"
"Arab-British Chamber Of Commerce","51.51","-0.15","43 Upper Grosvenor Street, London","W1K 2NJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies, Foreign governments","Arab-British Chamber Of Commerce"
"W Hotel","51.51","-0.13","10 Wardour Street, Leicester Square, London","W1D 6QF","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","W Hotel"
"Arcelormittal Corporate Office","51.51","-0.14","7th floor, Berkeley Square House, Berkeley Square , London, UK","W1J 6DA","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Arcelormittal Corporate Office"
"Mahiki","51.51","-0.14","1, Dover Street,, Mayfair,, London","W1S 4LD","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Mahiki"
"Harrods","51.50","-0.16","87-135 Brompton Road, Knightsbridge, London","SW1X 7XL","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Harrods"
"Antofagasta registered office","51.51","-0.14","Cleveland House,, 33 King Street,, St James's,, London, , United Kingdom","SW1Y 6RJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Antofagasta registered office"
"21-23, Curzon Street","51.51","-0.15","21, Curzon Street, City of Westminister, London","W1J 7TY","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","21-23, Curzon Street"
"Savoy Hotel","51.51","-0.12","Strand, London","WC2R 0EU","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Savoy Hotel"
"Ministry of Defence","51.51","-0.13","Main Building, Whitehall, London","SW1A 2HB","Privatisation, Defence","Ministry of Defence"
"United Kingdom Hydrographic Office","51.02","-3.08","Admiralty Way, Taunton Somerset","TA1 2DN","Privatisation, Defence","United Kingdom Hydrographic Office"
"Department of Health","51.50","-0.13","Richmond House, 79 Whitehall, London","SW1A 2NS","Privatisation, Healthcare","Department of Health"
"HM Revenue and Customs","51.53","-0.14","Euston Tower, 286 Euston Road, London","NW1 3UL","Privatisation","HM Revenue and Customs"
"Government Gateway","51.50","-0.13","10 Downing Street, London","SW1A 2AA","Privatisation, Welfare","Government Gateway"
"Skills Development Scotland","55.86","-4.26","Alhambra House, 45 Waterloo Street, Glasoow","G2 6HS","Privatisation, Welfare","Skills Development Scotland"
"Boston Disability Assessment Centre","52.98","-0.03","Crown Buildings, Lincoln Lane, Boston, Lincs","PE21 8SJ","Privatisation, Welfare","Boston Disability Assessment Centre"
"Cambridge Disability Assessment Centre","52.21","0.12","Henry Giles House, 1st Floor, 73-79 Chesterton Road, Cambridge","CB4 3BQ","Privatisation, Welfare","Cambridge Disability Assessment Centre"
"Chelmsford Disability Assessment Centre","51.73","0.45","Government Buildings, Beeches Road (main entrance), Chelmsford, Essex","CM1 2RT","Privatisation, Welfare","Chelmsford Disability Assessment Centre"
"Chesterfield Disability Assessment Centre","53.23","-1.42","5th Floor, Beetwell House, Beetwell Street, Chesterfield","S40 1TF","Privatisation, Welfare","Chesterfield Disability Assessment Centre"
"Colchester Disability Assessment Centre","51.89","0.90","Crown Office Buildings, Wellington Street, Colchester","CO2 7AZ","Privatisation, Welfare","Colchester Disability Assessment Centre"
"Derby Disability Assessment Centre","52.91","-1.48","Unit 7, Southgate Retail Park, Normanton Road, Derby","DE23 6UQ","Privatisation, Welfare","Derby Disability Assessment Centre"
"Ipswich Disability Assessment Centre","52.06","1.15","St Felix House, Silent Street, Ipswich, Suffolk","IP1 1TF","Privatisation, Welfare","Ipswich Disability Assessment Centre"
"Kings Lynn Disability Assessment Centre","52.75","0.40","Vancouver House, County Court Road, Kings Lynn","PE30 5EW","Privatisation, Welfare","Kings Lynn Disability Assessment Centre"
"Leicester Disability Assessment Centre","52.64","-1.13","1st Floor, Rutland Centre, Halford Street, Leicester","LE1 1TQ","Privatisation, Welfare","Leicester Disability Assessment Centre"
"Lincoln Disability Assessment Centre","53.22","-0.55","Viking House, 98 Newland, Lincoln","LN1 1XT","Privatisation, Welfare","Lincoln Disability Assessment Centre"
"Mansfield Disability Assessment Centre","53.14","-1.20","Jobcentre Plus, 4th Floor, Commercial Gate, Mansfield, Notts","NG18 1LN","Privatisation, Welfare","Mansfield Disability Assessment Centre"
"Northampton Disability Assessment Centre","52.25","-0.91","Gladstone Business Centre, Heathfield Way off Gladstone Road, Dallington, Northampton","NN5 7QA","Privatisation, Welfare","Northampton Disability Assessment Centre"
"Norwich Disability Assessment Centre","52.63","1.29","2nd Floor, St Marys House, Duke Street, Norwich, Norfolk","NR3 1QA","Privatisation, Welfare","Norwich Disability Assessment Centre"
"Nottingham Disability Assessment Centre","52.95","-1.14","Price House, 37 Stoney Street, Nottingham","NG1 1LS","Privatisation, Welfare","Nottingham Disability Assessment Centre"
"Balham Disability Assessment Centre","51.44","-0.15","Irene House, 218 Balham High Road, Balham, London","SW12 9BX","Privatisation, Welfare","Balham Disability Assessment Centre"
"Croydon Disability Assessment Centre","51.38","-0.09","1st Floor, Stephenson House, Cherry Orchard Road, Croydon, Surrey","CR0 6BA","Privatisation, Welfare","Croydon Disability Assessment Centre"
"Ealing Disability Assessment Centre","51.51","-0.32","3rd Floor, Broadway House, Uxbridge Road, Ealing, London","W13 8RA","Privatisation, Welfare","Ealing Disability Assessment Centre"
"Highgate Disability Assessment Centre","51.57","-0.13","1st Floor, 1 Elthorne Road, Upper Holloway, London","N19 4AL","Privatisation, Welfare","Highgate Disability Assessment Centre"
"Luton Disability Assessment Centre","51.88","-0.42","6th Floor, Cresta House, Alma Street, Luton, Bedfordshire","LU1 2PU","Privatisation, Welfare","Luton Disability Assessment Centre"
"Marleybone Disability Assessment Centre","51.52","-0.17","Tresco House, 65 Lisson Grove, Marylebone","NW1 6UH","Privatisation, Welfare","Marleybone Disability Assessment Centre"
"Neasden Disability Assessment Centre","51.55","-0.25","2nd Floor, Chancel House (Entrance B), Neasden Lane, Neasden, London","NW10 2TU","Privatisation, Welfare","Neasden Disability Assessment Centre"
"Romford Disability Assessment Centre","51.58","0.19","2nd Floor East, Blackburn House, 22-26 Eastern Road, Romford, Essex","RM1 3PJ","Privatisation, Welfare","Romford Disability Assessment Centre"
"Southend Disability Assessment Centre","51.55","0.70","11 Prittlewell Chase, Westcliff on Sea, Essex","SS0 0RX","Privatisation, Welfare","Southend Disability Assessment Centre"
"Wimbledon Disability Assessment Centre","51.42","-0.20","The Quadrant, 213-217 The Broadway, Wimbledon, London","SW19 1NL","Privatisation, Welfare","Wimbledon Disability Assessment Centre"
"Berwick Disability Assessment Centre","55.77","-2.00","Berwick Infirmary, Berwick","TD15 1LT","Privatisation, Welfare","Berwick Disability Assessment Centre"
"Bishop Auckland Disability Assessment Centre","54.66","-1.68","2nd Floor, Vinovium House, Saddler Street, Bishop Auckland","DL14 7BH","Privatisation, Welfare","Bishop Auckland Disability Assessment Centre"
"Durham Disability Assessment Centre","54.77","-1.57","Elvet House, Hallgarth Street, Durham","DH1 3BP","Privatisation, Welfare","Durham Disability Assessment Centre"
"Hartlepool Disability Assessment Centre","54.68","-1.21","Park Tower, Stockton Street, Harlepool","TS24 7PT","Privatisation, Welfare","Hartlepool Disability Assessment Centre"
"Newcastle Disability Assessment Centre","55.01","-1.62","Arden House, Regent Centre, Regent Farm Road, Gosforth, Newcastle Upon Tyne","NE3 3LZ","Privatisation, Welfare","Newcastle Disability Assessment Centre"
"Sunderland Disability Assessment Centre","54.91","-1.38","2nd Floor, 60 The Bridges, Sunderland","SR1 3LE","Privatisation, Welfare","Sunderland Disability Assessment Centre"
"Birkenhead Disability Assessment Centre","53.39","-3.02","Brunswick House, C/O Jobcentre Plus, Price Street, Birkenhead","CH41 6JN","Privatisation, Welfare","Birkenhead Disability Assessment Centre"
"Blackpool Disability Assessment Centre","53.84","-3.03","Warbreck House, Warbreck Hill Road, Blackpool","FY2 0YE","Privatisation, Welfare","Blackpool Disability Assessment Centre"
"Bolton Disability Assessment Centre","53.58","-2.43","Elizabeth House, 21 Back Spring Gardens, Bolton","BL1 1TP","Privatisation, Welfare","Bolton Disability Assessment Centre"
"Bootle Disability Assessment Centre","53.45","-2.99","St Martins House, Stanley Road, Bootle","L69 9BN","Privatisation, Welfare","Bootle Disability Assessment Centre"
"Burnley Disability Assessment Centre","53.79","-2.24","Brun House, Kingsway, Burnley","BB11 1AG","Privatisation, Welfare","Burnley Disability Assessment Centre"
"Carlisle Disability Assessment Centre","54.90","-2.94","Unit 2, Suite B, Carlyle's Court, St Mary's Gate, Carlisle","CA3 8RN","Privatisation, Welfare","Carlisle Disability Assessment Centre"
"Chester Disability Assessment Centre","53.19","-2.88","1-2 Grosvenor Court, 137 -151 Foregate Street, Chester","CH1 1HG","Privatisation, Welfare","Chester Disability Assessment Centre"
"Crewe Disability Assessment Centre","53.10","-2.45","Wellington House, 38-44 Delamere Street, Crewe","CW1 2JY","Privatisation, Welfare","Crewe Disability Assessment Centre"
"Lancaster Disability Assessment Centre","54.05","-2.80","Mitre House, Church Street, Lancaster","LA1 1EQ","Privatisation, Welfare","Lancaster Disability Assessment Centre"
"Manchester Disability Assessment Centre","53.48","-2.25","Albert Bridge House, Bridge Street, Manchester","M60 9AT","Privatisation, Welfare","Manchester Disability Assessment Centre"
"Preston Disability Assessment Centre","53.76","-2.70","4th floor, Marshall House, Ringway, Preston","PR1 2HS","Privatisation, Welfare","Preston Disability Assessment Centre"
"St Helens Disability Assessment Centre","53.46","-2.74","Manor House, Cowley Street, St Helens","WA10 2SX","Privatisation, Welfare","St Helens Disability Assessment Centre"
"Stockport Disability Assessment Centre","53.41","-2.16","18 Deanery Way, Stockport","SK1 1NA","Privatisation, Welfare","Stockport Disability Assessment Centre"
"Warrington Disability Assessment Centre","53.39","-2.60","Tannery Court, Tanners Lane, Warrington, Cheshire","WA2 7NW","Privatisation, Welfare","Warrington Disability Assessment Centre"
"Wigan Disability Assessment Centre","53.54","-2.63","Brocol House, 71  73 King Street, Wigan","WN1 1EB","Privatisation, Welfare","Wigan Disability Assessment Centre"
"Workington Disability Assessment Centre","54.64","-3.55","Central Way, Workington","CA14 3GS","Privatisation, Welfare","Workington Disability Assessment Centre"
"Aberdeen Disability Assessment Centre","57.14","-2.11","484 Union Street, Aberdeen","AB10 1TS","Privatisation, Welfare","Aberdeen Disability Assessment Centre"
"Ayr Disability Assessment Centre","55.47","-4.62","Russell House, King Street, Limonds Wynd, Ayr","KA8 0BD","Privatisation, Welfare","Ayr Disability Assessment Centre"
"Banff Disability Assessment Centre","57.67","-2.53","The Clinic, Chalmers Hospital, Clunie Street, Banff","AB45 1HY","Privatisation, Welfare","Banff Disability Assessment Centre"
"Benbecula Disability Assessment Centre","57.47","-7.37","Benbecula Hospital, Balivanich, Benbecula","HS7 5LA","Privatisation, Welfare","Benbecula Disability Assessment Centre"
"Campbeltown Disability Assessment Centre","55.42","-5.60","40 Hall Street, Campbeltown","PA28 6BZ","Privatisation, Welfare","Campbeltown Disability Assessment Centre"
"Dundee Disability Assessment Centre","56.46","-2.97","Caledonian House, Greenmarket, Dundee","DD1 4QP","Privatisation, Welfare","Dundee Disability Assessment Centre"
"Edinburgh Disability Assessment Centre","55.96","-3.19","44 York Place, Edinburgh","EH1 3JW","Privatisation, Welfare","Edinburgh Disability Assessment Centre"
"Fort William Disability Assessment Centre","56.84","-5.08","Community Wing, Fort William Health Centre, Camaghael","PH33 7AQ","Privatisation, Welfare","Fort William Disability Assessment Centre"
"Glasgow Disability Assessment Centre","55.86","-4.26","Corunna House, 29 Cadogan Street, Glasgow","G2 7RD","Privatisation, Welfare","Glasgow Disability Assessment Centre"
"Greenock Disability Assessment Centre","55.95","-4.75","1 Duff Street, Greenock","PA15 1DB","Privatisation, Welfare","Greenock Disability Assessment Centre"
"Hawick Disability Assessment Centre","55.42","-2.79","Teviot Medical Practice, Teviot Road, Hawick","TD9 9DT","Privatisation, Welfare","Hawick Disability Assessment Centre"
